USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.8  0.1  18296  4844 ?        Sl   09:59   0:01 /process_api --firecracker-init --addr 0.0.0.0:2024 --max-ws-buffer-size 32768 --block-local-connections
root         2  0.0  0.0      0     0 ?        S    09:59   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    09:59   0:00 [pool_workqueue_release]
root         4  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-rcu_gp]
root         5  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-sync_wq]
root         6  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-kvfree_rcu_reclaim]
root         7  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-slub_flushwq]
root         8  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-netns]
root         9  0.0  0.0      0     0 ?        I    09:59   0:00 [kworker/0:0-events]
root        10  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/0:0H-events_highpri]
root        11  0.0  0.0      0     0 ?        I    09:59   0:00 [kworker/0:1-pm]
root        12  0.0  0.0      0     0 ?        I    09:59   0:00 [kworker/u4:0-kvfree_rcu_reclaim]
root        13  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-mm_percpu_wq]
root        14  0.0  0.0      0     0 ?        S    09:59   0:00 [ksoftirqd/0]
root        15  0.0  0.0      0     0 ?        I    09:59   0:00 [rcu_preempt]
root        16  0.0  0.0      0     0 ?        S    09:59   0:00 [rcu_exp_par_gp_kthread_worker/0]
root        17  0.0  0.0      0     0 ?        S    09:59   0:00 [rcu_exp_gp_kthread_worker]
root        18  0.0  0.0      0     0 ?        S    09:59   0:00 [migration/0]
root        19  0.0  0.0      0     0 ?        S    09:59   0:00 [cpuhp/0]
root        21  0.0  0.0      0     0 ?        I    09:59   0:00 [kworker/u4:1-events_unbound]
root        22  0.0  0.0      0     0 ?        S    09:59   0:00 [kdevtmpfs]
root        23  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-inet_frag_wq]
root        24  0.0  0.0      0     0 ?        I    09:59   0:00 [rcu_tasks_kthread]
root        25  0.0  0.0      0     0 ?        I    09:59   0:00 [rcu_tasks_trace_kthread]
root        26  0.0  0.0      0     0 ?        S    09:59   0:00 [kauditd]
root        27  0.0  0.0      0     0 ?        S    09:59   0:00 [khungtaskd]
root        28  0.0  0.0      0     0 ?        S    09:59   0:00 [oom_reaper]
root        29  0.0  0.0      0     0 ?        I<   09:59   0:00 [kworker/R-writeback]
